<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDA.US,D,20180216,000000,243.52,248.07,241.6,241.97,16050462,0
NVDA.US,D,20180220,000000,242.87,249.92,242.72,247.15,17267696,0
NVDA.US,D,20180221,000000,249.74,250,239.5,239.65,21279627,0
NVDA.US,D,20180222,000000,241.01,243.89,237.79,240.43,13430603,0
NVDA.US,D,20180223,000000,242.84,244.19,240.8,244.19,10424360,0
NVDA.US,D,20180226,000000,246.05,246.23,242.33,244.84,11762908,0
NVDA.US,D,20180227,000000,243.76,247.14,243.4,244.32,11467223,0
NVDA.US,D,20180228,000000,244.76,246.35,239.82,240.28,13171286,0
NVDA.US,D,20180301,000000,240.2,242.36,226.51,230.56,26188698,0
NVDA.US,D,20180302,000000,226.25,235.12,220.28,234.86,22998788,0
NVDA.US,D,20180305,000000,232.85,235.57,227.88,233.97,15630259,0
NVDA.US,D,20180306,000000,237.39,241.22,235.68,240.44,16033955,0
NVDA.US,D,20180307,000000,236.32,242.23,236.27,240.13,14634008,0
NVDA.US,D,20180308,000000,241.23,241.23,237.68,239.47,10371313,0
NVDA.US,D,20180309,000000,241.38,244.11,240.73,243.6,12728416,0
NVDA.US,D,20180312,000000,245.26,251.2,244.93,247.99,15234583,0
NVDA.US,D,20180313,000000,249.7,252.69,244.3,245.96,15604977,0
NVDA.US,D,20180314,000000,247.68,248.78,244.48,246.98,12727622,0
NVDA.US,D,20180315,000000,247.52,250.82,245.89,247.57,10120609,0
NVDA.US,D,20180316,000000,248.23,249.46,246.72,248.71,10057761,0
NVDA.US,D,20180319,000000,246.43,247.58,235.32,239.29,17971791,0
NVDA.US,D,20180320,000000,239.41,249.36,239.41,247.81,13966456,0
NVDA.US,D,20180321,000000,247.55,250.21,245.58,246.8,11045549,0
NVDA.US,D,20180322,000000,244.26,246.13,238.63,240.14,13878342,0
NVDA.US,D,20180323,000000,240.68,240.95,230.87,231.32,18521814,0
NVDA.US,D,20180326,000000,236.32,242.8,234.22,242.75,15394817,0
NVDA.US,D,20180327,000000,246,248.23,218.28,223.92,35476606,0
NVDA.US,D,20180328,000000,222.56,227.75,215.46,219.78,23816551,0
NVDA.US,D,20180329,000000,222.54,233.82,219.13,229.95,23079366,0
NVDA.US,D,20180402,000000,227.12,232.98,215.96,219.48,23216966,0
NVDA.US,D,20180403,000000,226.19,228.71,219.78,223.76,16804938,0
NVDA.US,D,20180404,000000,213.49,225.06,212.48,224.64,19870076,0
NVDA.US,D,20180405,000000,226.98,227.49,216.93,219.81,17656189,0
NVDA.US,D,20180406,000000,215.69,220.03,211.55,212.73,16693105,0
NVDA.US,D,20180409,000000,215.26,220.4,213.08,213.88,12577316,0
NVDA.US,D,20180410,000000,223.14,227.36,220.84,226.3,19255364,0
NVDA.US,D,20180411,000000,225.7,227.33,223.35,224.64,11559923,0
NVDA.US,D,20180412,000000,228.36,233.65,226.6,232.94,14954001,0
NVDA.US,D,20180413,000000,235.49,235.83,227.91,229.86,12665715,0
NVDA.US,D,20180416,000000,230.12,231.19,226.07,229.85,8832416,0
NVDA.US,D,20180417,000000,231.94,236.72,229.71,235.86,11260494,0
NVDA.US,D,20180418,000000,233.82,237.54,231.12,234.69,9853941,0
NVDA.US,D,20180419,000000,230.09,231.45,225.2,227.4,11884212,0
NVDA.US,D,20180420,000000,227.07,230.45,225.84,227.09,9723926,0
NVDA.US,D,20180423,000000,227.79,229.86,221.26,222.31,10764061,0
NVDA.US,D,20180424,000000,223.34,227.16,217,219.63,10438924,0
NVDA.US,D,20180425,000000,218.43,220.01,208.81,215.12,14817426,0
NVDA.US,D,20180426,000000,221.63,223.95,218.96,223.63,9462681,0
NVDA.US,D,20180427,000000,227.86,228.66,223.04,224.73,10092823,0
NVDA.US,D,20180430,000000,225.39,227.36,222.55,223.32,8254607,0
NVDA.US,D,20180501,000000,222.99,225.64,220.63,225.54,6390046,0
NVDA.US,D,20180502,000000,225.4,227.16,223.66,224.71,6754084,0
NVDA.US,D,20180503,000000,225.99,232.39,224.17,231.34,11157769,0
NVDA.US,D,20180504,000000,230.18,237.48,229.49,237.35,10088080,0
NVDA.US,D,20180507,000000,241.57,249.2,241.17,246.92,17313161,0
NVDA.US,D,20180508,000000,246.93,248.74,244.97,248.63,12755835,0
NVDA.US,D,20180509,000000,249.42,254.05,248.34,253.96,15025540,0
NVDA.US,D,20180510,000000,256.1,258.65,255.38,258.28,25029536,0
NVDA.US,D,20180511,000000,250.98,257.94,248.77,252.72,30578262,0
NVDA.US,D,20180514,000000,254.25,256.66,252.59,253.55,13171890,0
NVDA.US,D,20180515,000000,250.99,251.1,239.79,243.82,24260260,0
NVDA.US,D,20180516,000000,242.28,246.76,240.79,244.27,13944599,0
NVDA.US,D,20180517,000000,244.34,249.71,243.69,245.96,13087419,0
NVDA.US,D,20180518,000000,248.04,250.57,244,244.2,12179316,0
