<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20101021,000000,38.623,38.923,37.943,38.279,158067224,0
AAPL.US,D,20101022,000000,38.218,38.342,37.879,38.024,106845297,0
AAPL.US,D,20101025,000000,38.231,38.538,38.145,38.196,111145870,0
AAPL.US,D,20101026,000000,37.952,38.306,37.799,38.097,112277506,0
AAPL.US,D,20101027,000000,38.029,38.327,37.792,38.068,113372153,0
AAPL.US,D,20101028,000000,38.085,38.091,37.212,37.749,158414189,0
AAPL.US,D,20101029,000000,37.637,37.829,37.208,37.222,123050646,0
AAPL.US,D,20101101,000000,37.427,37.792,37.373,37.616,121970357,0
AAPL.US,D,20101102,000000,37.996,38.359,37.968,38.258,124690876,0
AAPL.US,D,20101103,000000,38.522,38.693,38.155,38.683,146646536,0
AAPL.US,D,20101104,000000,38.969,39.598,38.96,39.36,185052648,0
AAPL.US,D,20101105,000000,39.328,39.523,39.172,39.219,104139803,0
AAPL.US,D,20101108,000000,39.22,39.547,39.174,39.402,80857978,0
AAPL.US,D,20101109,000000,39.7,39.735,38.894,39.09,110407238,0
AAPL.US,D,20101110,000000,39.165,39.42,38.777,39.333,110116311,0
AAPL.US,D,20101111,000000,38.957,39.374,38.864,39.16,104197901,0
AAPL.US,D,20101112,000000,39.017,39.142,37.55,38.094,229575287,0
AAPL.US,D,20101115,000000,38.15,38.406,37.875,37.972,116226737,0
AAPL.US,D,20101116,000000,37.785,38.04,37.016,37.297,189707065,0
AAPL.US,D,20101117,000000,37.233,37.597,36.823,37.165,138220150,0
AAPL.US,D,20101118,000000,37.777,38.296,37.681,38.144,142239751,0
AAPL.US,D,20101119,000000,38.091,38.14,37.749,37.935,111033353,0
AAPL.US,D,20101122,000000,37.931,38.755,37.828,38.755,113088525,0
AAPL.US,D,20101123,000000,38.4,38.554,37.914,38.182,149478811,0
AAPL.US,D,20101124,000000,38.585,39.005,38.554,38.931,119456662,0
AAPL.US,D,20101126,000000,38.777,39.292,38.7,38.955,68657093,0
AAPL.US,D,20101129,000000,39.11,39.265,38.508,39.186,127671823,0
AAPL.US,D,20101130,000000,38.776,38.877,38.446,38.482,144603661,0
AAPL.US,D,20101201,000000,39.038,39.298,38.955,39.131,132668533,0
AAPL.US,D,20101202,000000,39.267,39.451,38.942,39.346,133657195,0
AAPL.US,D,20101203,000000,39.194,39.406,39.124,39.26,98774341,0
AAPL.US,D,20101206,000000,39.392,39.863,39.377,39.594,128424300,0
AAPL.US,D,20101207,000000,40.055,40.068,39.343,39.355,112567469,0
AAPL.US,D,20101208,000000,39.547,39.703,39.216,39.702,92606574,0
AAPL.US,D,20101209,000000,39.877,39.884,39.453,39.545,84771228,0
AAPL.US,D,20101210,000000,39.532,39.708,39.399,39.643,75767241,0
AAPL.US,D,20101213,000000,40.112,40.199,39.7,39.78,126727412,0
AAPL.US,D,20101214,000000,39.821,39.888,39.451,39.61,101342090,0
AAPL.US,D,20101215,000000,39.59,39.946,39.474,39.619,119900267,0
AAPL.US,D,20101216,000000,39.711,39.896,39.59,39.728,92778275,0
AAPL.US,D,20101217,000000,39.745,39.797,39.603,39.649,111582857,0
AAPL.US,D,20101220,000000,39.748,39.976,39.357,39.847,110905676,0
AAPL.US,D,20101221,000000,39.958,40.116,39.826,40.092,73880156,0
AAPL.US,D,20101222,000000,40.112,40.282,40.015,40.214,76760202,0
AAPL.US,D,20101223,000000,40.192,40.212,39.967,40.022,64402699,0
AAPL.US,D,20101227,000000,39.97,40.248,39.761,40.155,71986614,0
AAPL.US,D,20101228,000000,40.308,40.399,40.199,40.252,50708675,0
AAPL.US,D,20101229,000000,40.332,40.373,40.205,40.23,47102327,0
AAPL.US,D,20101230,000000,40.243,40.258,39.952,40.03,45459426,0
AAPL.US,D,20101231,000000,39.946,40.006,39.737,39.891,55848766,0
AAPL.US,D,20110103,000000,40.173,40.843,40.173,40.758,128330463,0
AAPL.US,D,20110104,000000,41.12,41.12,40.582,40.971,89193835,0
AAPL.US,D,20110105,000000,40.811,41.35,40.75,41.305,73179086,0
AAPL.US,D,20110106,000000,41.431,41.459,41.171,41.272,86588569,0
AAPL.US,D,20110107,000000,41.32,41.596,41.045,41.569,89577459,0
AAPL.US,D,20110110,000000,41.906,42.45,41.699,42.35,129322315,0
AAPL.US,D,20110111,000000,42.662,42.664,41.981,42.252,127817476,0
AAPL.US,D,20110112,000000,42.472,42.596,42.292,42.595,87219202,0
AAPL.US,D,20110113,000000,42.686,42.867,42.523,42.749,85628944,0
AAPL.US,D,20110114,000000,42.79,43.096,42.597,43.096,88802944,0
AAPL.US,D,20110118,000000,40.447,42.639,40.315,42.129,537685786,0
AAPL.US,D,20110119,000000,43.11,43.113,41.66,41.907,327192006,0
AAPL.US,D,20110120,000000,41.577,41.836,40.825,41.145,220562657,0
AAPL.US,D,20110121,000000,41.305,41.417,40.395,40.406,217557570,0
AAPL.US,D,20110124,000000,40.449,41.734,40.406,41.734,165492742,0
AAPL.US,D,20110125,000000,41.579,42.229,41.377,42.223,157116797,0
AAPL.US,D,20110126,000000,42.407,42.739,42.235,42.523,146200094,0
AAPL.US,D,20110127,000000,42.53,42.63,42.398,42.447,82181287,0
AAPL.US,D,20110128,000000,42.583,42.592,41.248,41.566,170697858,0
AAPL.US,D,20110131,000000,41.544,42.05,41.344,41.964,108832175,0
AAPL.US,D,20110201,000000,42.24,42.745,42.17,42.672,122851293,0
AAPL.US,D,20110202,000000,42.599,42.695,42.485,42.581,74687488,0
AAPL.US,D,20110203,000000,42.508,42.573,41.869,42.474,113547306,0
AAPL.US,D,20110204,000000,42.494,42.876,42.482,42.851,92813547,0
AAPL.US,D,20110207,000000,43.037,43.686,42.995,43.516,139827889,0
AAPL.US,D,20110208,000000,43.722,43.966,43.549,43.927,109731014,0
AAPL.US,D,20110209,000000,43.926,44.398,43.888,44.294,139204300,0
AAPL.US,D,20110210,000000,44.251,44.522,43.037,43.846,267802071,0
AAPL.US,D,20110211,000000,43.885,44.248,43.725,44.134,106022840,0
AAPL.US,D,20110214,000000,44.128,44.46,44.116,44.42,89523466,0
AAPL.US,D,20110215,000000,44.424,44.52,44.219,44.512,81722813,0
AAPL.US,D,20110216,000000,44.608,45.126,44.583,44.906,137209445,0
AAPL.US,D,20110217,000000,44.157,44.555,44.091,44.31,152869912,0
AAPL.US,D,20110218,000000,44.31,44.461,43.226,43.354,234875763,0
AAPL.US,D,20110222,000000,42.279,42.714,41.768,41.878,251370325,0
AAPL.US,D,20110223,000000,41.882,42.623,41.878,42.372,193751261,0
AAPL.US,D,20110224,000000,42.543,42.685,41.846,42.405,144171063,0
AAPL.US,D,20110225,000000,42.706,43.091,42.644,43.056,109484054,0
AAPL.US,D,20110228,000000,43.429,43.91,43.423,43.682,116104286,0
AAPL.US,D,20110301,000000,43.937,43.991,42.999,43.201,131377988,0
AAPL.US,D,20110302,000000,43.278,43.824,43.087,43.546,173751166,0
AAPL.US,D,20110303,000000,44.205,44.496,44.014,44.468,143990598,0
AAPL.US,D,20110304,000000,44.468,44.557,44.243,44.522,130725215,0
AAPL.US,D,20110307,000000,44.72,44.728,43.448,43.949,157470452,0
AAPL.US,D,20110308,000000,43.879,44.2,43.563,43.996,102763382,0
AAPL.US,D,20110309,000000,43.866,43.874,43.359,43.59,130851670,0
AAPL.US,D,20110310,000000,43.159,43.257,42.655,42.872,146447759,0
